keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"konseling, sql","konseling, sql",pengembangan karir umum,SMA/Sederajat,seni,Penulisan Kreatif,2.84,Konselor Sekolah,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling sql umum karir pengembangan seni,valid,Tidak,20,6,2,12
sql,sql,pengembangan karir umum,Magister,perdagangan,Sertifikasi Pemasaran Digital,2.6,Konselor Sekolah,perdagangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,sql umum karir pengembangan perdagangan,valid,Tidak,20,6,1,8
python,python,"teknologi, ilmu data",Sarjana,seni,Penulisan Kreatif,2.44,Profesor,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python teknologi data sains seni,valid,Tidak,28,6,3,12
ms office,ms office,pengembangan karir umum,SMA/Sederajat,keuangan,Tidak Ada Sertifikasi,3.44,Profesor,keuangan,tugas umum,"akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,ms office umum karir pengembangan keuangan,valid,Tidak,28,6,2,4
"analisis keuangan, pemasaran, analisis data","analisis keuangan, pemasaran, analisis data","teknologi, ilmu data",Magister,bisnis,Sertifikasi Pemasaran Digital,2.88,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan pemasaran analisis data teknologi data sains bisnis,valid,Tidak,20,6,1,1
"python, pembelajaran mesin, konseling","python, pembelajaran mesin, konseling","teknologi, ilmu data",SMA/Sederajat,keuangan,Tally ERP,2.56,Konselor Sekolah,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,python pembelajaran mesin konseling teknologi data sains keuangan,valid,Tidak,20,6,2,4
analisis keuangan,analisis keuangan,"bisnis, keuangan",SMA/Sederajat,bisnis,Tidak Ada Sertifikasi,3.64,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan bisnis keuangan,valid,Tidak,20,6,2,1
"akuntansi, pemasaran, analisis data","akuntansi, pemasaran, analisis data","teknologi, ilmu data",Doktor,sains,AWS Certified,3.4,Konselor Sekolah,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi pemasaran analisis data teknologi data sains sains,valid,Tidak,20,6,0,11
"komunikasi, pemasaran","komunikasi, pemasaran",marketing,SMA/Sederajat,bisnis,Penulisan Kreatif,2.8,Profesor,bisnis,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi pemasaran bisnis,valid,Tidak,28,6,2,1
akuntansi,akuntansi,"bisnis, keuangan",Magister,sains,Sertifikasi Pemasaran Digital,3.56,Profesor,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi bisnis keuangan sains,valid,Tidak,28,6,1,11
"analisis keuangan, sql","analisis keuangan, sql","bisnis, keuangan",Sarjana,psikologi,Sertifikasi Pemasaran Digital,3.6,Konselor Sekolah,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan sql bisnis keuangan psikologi,valid,Tidak,20,6,3,9
"ms office, sql","ms office, sql",pengembangan karir umum,Sarjana,ilmu komputer,Google Data Analytics,3.4,Profesor,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,ms office sql umum karir pengembangan komputer sains,valid,Tidak,28,6,3,2
"pemasaran, analisis keuangan, python","pemasaran, analisis keuangan, python","teknologi, ilmu data",Magister,seni,AWS Certified,2.88,Konselor Sekolah,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran analisis keuangan python teknologi data sains seni,valid,Tidak,20,6,1,12
analisis data,analisis data,"teknologi, ilmu data",SMA/Sederajat,psikologi,CFA Level 1,2.56,Konselor Sekolah,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data teknologi data sains psikologi,valid,Tidak,20,6,2,9
pembelajaran mesin,pembelajaran mesin,"teknologi, ilmu data",Magister,perdagangan,Tally ERP,3.44,Konselor Sekolah,perdagangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin teknologi data sains perdagangan,valid,Tidak,20,6,1,8
"ms office, konseling","ms office, konseling",pengembangan karir umum,Sarjana,sains,AWS Certified,2.4,Profesor,sains,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,ms office konseling umum karir pengembangan sains,valid,Tidak,28,6,3,11
pemasaran,pemasaran,marketing,Doktor,psikologi,Penulisan Kreatif,3.2,Konselor Sekolah,psikologi,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran psikologi,valid,Tidak,20,6,0,9
"python, ms office","python, ms office","teknologi, ilmu data",Magister,teknik,Google Data Analytics,3.2,Konselor Sekolah,teknik,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,python ms office teknologi data sains teknik,valid,Tidak,20,6,1,13
"akuntansi, ms office, konseling","akuntansi, ms office, konseling","bisnis, keuangan",SMA/Sederajat,psikologi,Tally ERP,2.48,Profesor,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi ms office konseling bisnis keuangan psikologi,valid,Tidak,28,6,2,9
konseling,konseling,pengembangan karir umum,SMA/Sederajat,perdagangan,Sertifikasi Pemasaran Digital,2.64,Profesor,perdagangan,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling umum karir pengembangan perdagangan,valid,Tidak,28,6,2,8
"ms office, pemasaran","ms office, pemasaran",marketing,SMA/Sederajat,ilmu komputer,Dasar Kesehatan Mental,3.12,Profesor,ilmu komputer,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,ms office pemasaran komputer sains,valid,Tidak,28,6,2,2
analisis keuangan,analisis keuangan,"bisnis, keuangan",SMA/Sederajat,psikologi,AWS Certified,2.6,Konselor Sekolah,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan bisnis keuangan psikologi,valid,Tidak,20,6,2,9
"komunikasi, analisis data, ms office","komunikasi, analisis data, ms office","teknologi, ilmu data",Sarjana,seni,Google Data Analytics,3.6,Konselor Sekolah,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi analisis data ms office teknologi data sains seni,valid,Tidak,20,6,3,12
"akuntansi, python, komunikasi","akuntansi, python, komunikasi","teknologi, ilmu data",Magister,psikologi,Penulisan Kreatif,3.28,Konselor Sekolah,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi python komunikasi teknologi data sains psikologi,valid,Tidak,20,6,1,9
"sql, komunikasi","sql, komunikasi",pengembangan karir umum,Sarjana,keuangan,Sertifikasi Pemasaran Digital,3.4,Profesor,keuangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,sql komunikasi umum karir pengembangan keuangan,valid,Tidak,28,6,3,4
"sql, konseling, ms office","sql, konseling, ms office",pengembangan karir umum,SMA/Sederajat,teknik,CFA Level 1,2.84,Profesor,teknik,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,sql konseling ms office umum karir pengembangan teknik,valid,Tidak,28,6,2,13
"komunikasi, sql","komunikasi, sql",pengembangan karir umum,SMA/Sederajat,sains,Tally ERP,3.44,Konselor Sekolah,sains,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi sql umum karir pengembangan sains,valid,Tidak,20,6,2,11
"konseling, ms office, sql","konseling, ms office, sql",pengembangan karir umum,SMA/Sederajat,psikologi,Google Data Analytics,2.56,Konselor Sekolah,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling ms office sql umum karir pengembangan psikologi,valid,Tidak,20,6,2,9
python,python,"teknologi, ilmu data",SMA/Sederajat,sains,Tally ERP,3.8,Profesor,sains,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python teknologi data sains sains,valid,Tidak,28,6,2,11
analisis keuangan,analisis keuangan,"bisnis, keuangan",Doktor,bisnis,Penulisan Kreatif,3.56,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan bisnis keuangan,valid,Tidak,20,6,0,1
"python, pembelajaran mesin, analisis data","python, pembelajaran mesin, analisis data","teknologi, ilmu data",SMA/Sederajat,bisnis,Tally ERP,2.88,Konselor Sekolah,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python pembelajaran mesin analisis data teknologi data sains bisnis,valid,Tidak,20,6,2,1
analisis data,analisis data,"teknologi, ilmu data",SMA/Sederajat,seni,Google Data Analytics,2.48,Konselor Sekolah,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data teknologi data sains seni,valid,Tidak,20,6,2,12
"pembelajaran mesin, analisis keuangan, ms office","pembelajaran mesin, analisis keuangan, ms office","teknologi, ilmu data",Sarjana,bisnis,AWS Certified,3.4,Profesor,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin analisis keuangan ms office teknologi data sains bisnis,valid,Tidak,28,6,3,1
"pembelajaran mesin, konseling, analisis data","pembelajaran mesin, konseling, analisis data","teknologi, ilmu data",Sarjana,psikologi,Tally ERP,3.72,Profesor,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin konseling analisis data teknologi data sains psikologi,valid,Tidak,28,6,3,9
"komunikasi, akuntansi","komunikasi, akuntansi","bisnis, keuangan",Sarjana,psikologi,Tidak Ada Sertifikasi,3.56,Profesor,psikologi,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi akuntansi bisnis keuangan psikologi,valid,Tidak,28,6,3,9
pemasaran,pemasaran,marketing,SMA/Sederajat,perdagangan,CFA Level 1,3.68,Profesor,perdagangan,"konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran perdagangan,valid,Tidak,28,6,2,8
"analisis data, pembelajaran mesin, konseling","analisis data, pembelajaran mesin, konseling","teknologi, ilmu data",Sarjana,ilmu komputer,Tally ERP,3.6,Konselor Sekolah,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data pembelajaran mesin konseling teknologi data sains komputer sains,valid,Tidak,20,6,3,2
"ms office, pembelajaran mesin","ms office, pembelajaran mesin","teknologi, ilmu data",Doktor,bisnis,Penulisan Kreatif,3.52,Profesor,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,ms office pembelajaran mesin teknologi data sains bisnis,valid,Tidak,28,6,0,1
"akuntansi, analisis data, sql","akuntansi, analisis data, sql","teknologi, ilmu data",Doktor,seni,Sertifikasi Pemasaran Digital,3.72,Profesor,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi analisis data sql teknologi data sains seni,valid,Tidak,28,6,0,12
"analisis keuangan, konseling, ms office","analisis keuangan, konseling, ms office","bisnis, keuangan",Sarjana,teknik,AWS Certified,3.48,Profesor,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,analisis keuangan konseling ms office bisnis keuangan teknik,valid,Tidak,28,6,3,13
python,python,"teknologi, ilmu data",Magister,psikologi,CFA Level 1,2.96,Profesor,psikologi,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,python teknologi data sains psikologi,valid,Tidak,28,6,1,9
analisis keuangan,analisis keuangan,"bisnis, keuangan",SMA/Sederajat,bisnis,Sertifikasi Pemasaran Digital,2.6,Profesor,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan bisnis keuangan,valid,Tidak,28,6,2,1
"komunikasi, konseling, ms office","komunikasi, konseling, ms office",pengembangan karir umum,Doktor,sains,Tally ERP,3.16,Profesor,sains,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi konseling ms office umum karir pengembangan sains,valid,Tidak,28,6,0,11
"pemasaran, python, akuntansi","pemasaran, python, akuntansi","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,AWS Certified,2.76,Konselor Sekolah,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran python akuntansi teknologi data sains komputer sains,valid,Tidak,20,6,2,2
analisis data,analisis data,"teknologi, ilmu data",Sarjana,ilmu komputer,AWS Certified,2.6,Konselor Sekolah,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis data teknologi data sains komputer sains,valid,Tidak,20,6,3,2
akuntansi,akuntansi,"bisnis, keuangan",Doktor,seni,Tidak Ada Sertifikasi,3.6,Konselor Sekolah,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,akuntansi bisnis keuangan seni,valid,Tidak,20,6,0,12
"pembelajaran mesin, python, sql","pembelajaran mesin, python, sql","teknologi, ilmu data",Doktor,seni,Tidak Ada Sertifikasi,3.28,Profesor,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pembelajaran mesin python sql teknologi data sains seni,valid,Tidak,28,6,0,12
"ms office, analisis keuangan","ms office, analisis keuangan","bisnis, keuangan",Sarjana,keuangan,Dasar Kesehatan Mental,3.36,Profesor,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,ms office analisis keuangan bisnis keuangan,valid,Tidak,28,6,3,4
"pemasaran, akuntansi","pemasaran, akuntansi",marketing,Doktor,seni,Penulisan Kreatif,3.44,Profesor,seni,"konten, tugas sosial, penjualan & pengaruh, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,pemasaran akuntansi seni,valid,Tidak,28,6,0,12
"komunikasi, analisis keuangan, python","komunikasi, analisis keuangan, python","teknologi, ilmu data",Doktor,ilmu komputer,AWS Certified,2.96,Profesor,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,komunikasi analisis keuangan python teknologi data sains komputer sains,valid,Tidak,28,6,0,2
"analisis keuangan, pemasaran, komunikasi","analisis keuangan, pemasaran, komunikasi",marketing,SMA/Sederajat,perdagangan,Tally ERP,3.32,Profesor,perdagangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,analisis keuangan pemasaran komunikasi perdagangan,valid,Tidak,28,6,2,8
"konseling, komunikasi, sql","konseling, komunikasi, sql",pengembangan karir umum,SMA/Sederajat,ilmu komputer,CFA Level 1,2.76,Profesor,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Pendidikan,konseling komunikasi sql umum karir pengembangan komputer sains,valid,Tidak,28,6,2,2
"analisis data, sql, komunikasi","analisis data, sql, komunikasi","teknologi, ilmu data",Magister,keuangan,AWS Certified,2.84,Profesor,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Pendidikan,analisis data sql komunikasi teknologi data sains keuangan,valid,Tidak,28,6,1,4
"komunikasi, sql","komunikasi, sql",pengembangan karir umum,Sarjana,teknik,Penulisan Kreatif,3.32,Konselor Sekolah,teknik,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Pendidikan,komunikasi sql umum karir pengembangan teknik,valid,Tidak,20,6,3,13
